year_month,category_id,planned_amount,spent_amount
2026-01,CAT_MERCADO,"3000,00","890,40"
2026-01,CAT_ALIMENTA,"300,00","210,50"
2026-01,CAT_BELEZA,"150,00","0,00"
2026-01,CAT_LAZER,"600,00","120,00"
2026-01,CAT_SAUDE,"1000,00","127,90"
2026-01,CAT_CARRO,"400,00","180,00"
2026-01,CAT_CONTASDE,"2300,00","2100,00"
2026-01,CAT_EDUCACAO,"400,00","139,90"
2026-01,CAT_ELETRONI,"50,00","410,00"
2026-01,CAT_HUMANITA,"150,00","50,00"
2026-02,CAT_MERCADO,"3000,00","920,15"
2026-02,CAT_ALIMENTA,"300,00","180,00"
2026-02,CAT_BELEZA,"150,00","150,00"
2026-02,CAT_LAZER,"600,00","404,00"
2026-02,CAT_SAUDE,"1000,00","220,00"
2026-02,CAT_CARRO,"400,00","286,40"
2026-02,CAT_CONTASDE,"2300,00","2100,00"
2026-02,CAT_EDUCACAO,"400,00","139,90"
2026-02,CAT_ELETRONI,"50,00","890,50"
2026-02,CAT_HUMANITA,"150,00","80,00"
2026-03,CAT_MERCADO,"3000,00","1040,80"
2026-03,CAT_ALIMENTA,"300,00","245,90"
2026-03,CAT_BELEZA,"150,00","80,00"
2026-03,CAT_LAZER,"600,00","80,00"
2026-03,CAT_SAUDE,"1000,00","450,00"
2026-03,CAT_CARRO,"400,00","400,00"
2026-03,CAT_CONTASDE,"2300,00","2150,00"
2026-03,CAT_EDUCACAO,"400,00","339,90"
2026-03,CAT_ELETRONI,"50,00","120,00"
2026-03,CAT_HUMANITA,"150,00","50,00"
2026-04,CAT_MERCADO,"3000,00","980,00"
2026-04,CAT_ALIMENTA,"300,00","198,40"
2026-04,CAT_BELEZA,"150,00","80,00"
2026-04,CAT_LAZER,"600,00","450,00"
2026-04,CAT_SAUDE,"1000,00","90,00"
2026-04,CAT_CARRO,"400,00","190,00"
2026-04,CAT_CONTASDE,"2300,00","2150,00"
2026-04,CAT_EDUCACAO,"400,00","200,00"
2026-04,CAT_ELETRONI,"50,00","650,00"
2026-04,CAT_HUMANITA,"150,00","200,00"
2026-05,CAT_MERCADO,"3000,00","1102,33"
2026-05,CAT_ALIMENTA,"300,00","260,10"
2026-05,CAT_BELEZA,"150,00","0,00"
2026-05,CAT_LAZER,"600,00","167,00"
2026-05,CAT_SAUDE,"1000,00","670,00"
2026-05,CAT_CARRO,"400,00","320,00"
2026-05,CAT_CONTASDE,"2300,00","2200,00"
2026-05,CAT_EDUCACAO,"400,00","139,90"
2026-05,CAT_ELETRONI,"50,00","210,00"
2026-05,CAT_HUMANITA,"150,00","160,00"
2026-06,CAT_MERCADO,"3000,00","1250,40"
2026-06,CAT_ALIMENTA,"300,00","310,00"
2026-06,CAT_BELEZA,"150,00","120,00"
2026-06,CAT_LAZER,"600,00","520,00"
2026-06,CAT_SAUDE,"1000,00","150,00"
2026-06,CAT_CARRO,"400,00","410,00"
2026-06,CAT_CONTASDE,"2300,00","2200,00"
2026-06,CAT_EDUCACAO,"400,00","400,00"
2026-06,CAT_ELETRONI,"50,00","2213,44"
2026-06,CAT_HUMANITA,"150,00","350,00"
2026-07,CAT_MERCADO,"3000,00","980,12"
2026-07,CAT_ALIMENTA,"300,00","175,20"
2026-07,CAT_BELEZA,"150,00","0,00"
2026-07,CAT_LAZER,"600,00","188,70"
2026-07,CAT_SAUDE,"1000,00","310,00"
2026-07,CAT_CARRO,"400,00","200,00"
2026-07,CAT_CONTASDE,"2300,00","2250,00"
2026-07,CAT_EDUCACAO,"400,00","139,90"
2026-07,CAT_ELETRONI,"50,00","330,00"
2026-07,CAT_HUMANITA,"150,00","50,00"
2026-08,CAT_MERCADO,"3000,00","1359,30"
2026-08,CAT_ALIMENTA,"300,00","311,91"
2026-08,CAT_BELEZA,"150,00","100,00"
2026-08,CAT_LAZER,"600,00","167,28"
2026-08,CAT_CARRO,"400,00","280,00"
2026-08,CAT_CONTASDE,"2300,00","2300,00"
2026-08,CAT_EDUCACAO,"400,00","139,77"
2026-08,CAT_ELETRONI,"50,00","2010,22"
2026-08,CAT_HUMANITA,"150,00","150,00"
2026-09,CAT_MERCADO,"3000,00","0,00"
2026-09,CAT_ALIMENTA,"300,00","0,00"
2026-09,CAT_BELEZA,"150,00","0,00"
2026-09,CAT_LAZER,"600,00","0,00"
2026-09,CAT_SAUDE,"1000,00","0,00"
2026-09,CAT_CARRO,"400,00","0,00"
2026-09,CAT_CONTASDE,"2300,00","0,00"
2026-09,CAT_EDUCACAO,"400,00","0,00"
2026-09,CAT_ELETRONI,"50,00","0,00"
2026-09,CAT_HUMANITA,"150,00","0,00"
2026-10,CAT_MERCADO,"3000,00","0,00"
2026-10,CAT_ALIMENTA,"300,00","0,00"
2026-10,CAT_BELEZA,"150,00","0,00"
2026-10,CAT_LAZER,"600,00","0,00"
2026-10,CAT_SAUDE,"1000,00","0,00"
2026-10,CAT_CARRO,"400,00","0,00"
2026-10,CAT_CONTASDE,"2300,00","0,00"
2026-10,CAT_EDUCACAO,"400,00","0,00"
2026-10,CAT_ELETRONI,"50,00","0,00"
2026-10,CAT_HUMANITA,"150,00","0,00"
2026-11,CAT_MERCADO,"3000,00","0,00"
2026-11,CAT_ALIMENTA,"300,00","0,00"
2026-11,CAT_BELEZA,"150,00","0,00"
2026-11,CAT_LAZER,"600,00","0,00"
2026-11,CAT_SAUDE,"1000,00","0,00"
2026-11,CAT_CARRO,"400,00","0,00"
2026-11,CAT_CONTASDE,"2300,00","0,00"
2026-11,CAT_EDUCACAO,"400,00","0,00"
2026-11,CAT_ELETRONI,"50,00","0,00"
2026-11,CAT_HUMANITA,"150,00","0,00"
