id,palace_id,peg_code,beast_name,beast_source,sensory_channel,is_smashed,sort_order
BEAST_AI_01_A,PALACE_AI_01,A,Arachne,,visual,0,1
BEAST_AI_01_B,PALACE_AI_01,B,bird of paradise,,visual,0,2
BEAST_AI_01_C,PALACE_AI_01,C,cat,,olfactory,1,3
BEAST_AI_02_D,PALACE_AI_02,D,dragon,,tactile,0,1
BEAST_AI_02_E,PALACE_AI_02,E,eagle,,auditory,0,2
BEAST_AI_02_F,PALACE_AI_02,F,frog,,visual,0,3
BEAST_AI_02_G,PALACE_AI_02,G,goat,,gustatory,0,4
BEAST_AI_02_H,PALACE_AI_02,H,Hydra,,olfactory,0,5
BEAST_AI_03_I,PALACE_AI_03,I,imp,,olfactory,1,1
BEAST_COMMUNICATIO_01_A,PALACE_COMMUNICATIO_01,A,Arachne,,,0,1
BEAST_COMMUNICATIO_01_B,PALACE_COMMUNICATIO_01,B,bird of paradise,,,0,2
BEAST_COMMUNICATIO_01_C,PALACE_COMMUNICATIO_01,C,cat,,,0,3
BEAST_COMMUNICATIO_02_D,PALACE_COMMUNICATIO_02,D,dragon,,visual,0,1
BEAST_COMMUNICATIO_02_E,PALACE_COMMUNICATIO_02,E,eagle,,tactile,0,2
BEAST_COMMUNICATIO_02_F,PALACE_COMMUNICATIO_02,F,frog,,auditory,0,3
BEAST_COMMUNICATIO_02_G,PALACE_COMMUNICATIO_02,G,goat,,olfactory,0,4
BEAST_COMMUNICATIO_02_H,PALACE_COMMUNICATIO_02,H,Hydra,,gustatory,0,5
BEAST_ENGLISH_01_A,PALACE_ENGLISH_01,A,Arachne,,,0,1
BEAST_ENGLISH_01_B,PALACE_ENGLISH_01,B,Bird of Paradise,,,0,2
BEAST_ENGLISH_01_C,PALACE_ENGLISH_01,C,Cat,,,0,3
BEAST_ENGLISH_01_E,PALACE_ENGLISH_01,E,Eagle,,,0,4
BEAST_ENGLISH_02_F,PALACE_ENGLISH_02,F,Frog,,,0,1
BEAST_ENGLISH_02_G,PALACE_ENGLISH_02,G,Goat,,,0,2
BEAST_ENGLISH_02_H,PALACE_ENGLISH_02,H,Hydra,,,0,3
BEAST_ENGLISH_02_I,PALACE_ENGLISH_02,I,Imp,,,0,4
BEAST_ENGLISH_02_J,PALACE_ENGLISH_02,J,Jester,,,0,5
BEAST_ENGLISH_03_K,PALACE_ENGLISH_03,K,Kitten,,,0,1
BEAST_ENGLISH_03_L,PALACE_ENGLISH_03,L,Lion,,,0,2
BEAST_ENGLISH_04_M,PALACE_ENGLISH_04,M,marmoset,,,0,1
BEAST_ENGLISH_04_N,PALACE_ENGLISH_04,N,Neanderthal,,,0,2
BEAST_ENGLISH_04_O,PALACE_ENGLISH_04,O,owl,,,0,3
BEAST_ENGLISH_04_P,PALACE_ENGLISH_04,P,panther,,,0,4
BEAST_ENGLISH_04_Q,PALACE_ENGLISH_04,Q,Quetzalcoatl,,,0,5
BEAST_ENGLISH_05_R,PALACE_ENGLISH_05,R,rat,,,0,1
BEAST_ENGLISH_05_S,PALACE_ENGLISH_05,S,skull,,,0,2
BEAST_ENGLISH_06_T,PALACE_ENGLISH_06,T,toucan,,,0,1
BEAST_ENGLISH_06_U,PALACE_ENGLISH_06,U,unicorn,,,0,2
BEAST_ENGLISH_06_V,PALACE_ENGLISH_06,V,vulture,,,0,3
BEAST_ENGLISH_06_W,PALACE_ENGLISH_06,W,wombat,,,0,4
BEAST_ENGLISH_07_X,PALACE_ENGLISH_07,X,"Xena, warrior woman",,,0,1
BEAST_ENGLISH_07_Y,PALACE_ENGLISH_07,Y,yak,,,0,2
BEAST_ENGLISH_07_Z,PALACE_ENGLISH_07,Z,Zeus,,,0,3
BEAST_ENGLISH_07_AA,PALACE_ENGLISH_07,Aa,aardvark,,,0,4
BEAST_ENGLISH_07_AB,PALACE_ENGLISH_07,Ab,Abyssinian cat,,,0,5
BEAST_ENGLISH_08_AC,PALACE_ENGLISH_08,Ac,acorn,,,0,1
BEAST_ENGLISH_08_AD,PALACE_ENGLISH_08,Ad,adder,,,0,2
BEAST_ENGLISH_08_AE,PALACE_ENGLISH_08,Ae,aerialist,,,0,3
BEAST_ENGLISH_08_AF,PALACE_ENGLISH_08,Af,Afghan hound,,,0,4
BEAST_ENGLISH_08_AG,PALACE_ENGLISH_08,Ag,Agaric fungi,,,0,5
