id,study_id,street_number,title,character_name,image_rel_path,depth_slots_used
STREET_AI_01,STUDY_AI,1,Foundations & Semantic Interoperability,(unassigned street 1),AI/images/1.png,3
STREET_AI_02,STUDY_AI,2,The Semantic Layer & RAG Structure,(unassigned street 2),AI/images/2.png,5
STREET_AI_03,STUDY_AI,3,AI Pricing & Elo Mechanics,(unassigned street 3),AI/images/3.jpg,1
STREET_COMMUNICATIO_01,STUDY_COMMUNICATIO,1,The Foundations of Rhetoric,(unassigned street 1),communication/images/1.png,3
STREET_COMMUNICATIO_02,STUDY_COMMUNICATIO,2,Leading the Business and Others,(unassigned street 2),communication/images/2.png,5
STREET_COMMUNICATIO_03,STUDY_COMMUNICATIO,3,Leading Myself,(unassigned street 3),communication/images/3.png,4
STREET_ENGLISH_01,STUDY_ENGLISH,1,Cleft Sentences & It-Clefts,(unassigned street 1),english/images/1.png,4
STREET_ENGLISH_02,STUDY_ENGLISH,2,Wh-Clefts & Rules,(unassigned street 2),english/images/2.png,5
STREET_ENGLISH_03,STUDY_ENGLISH,3,Special Variations,(unassigned street 3),english/images/3.png,2
STREET_ENGLISH_04,STUDY_ENGLISH,4,Ellipsis & Substitution Basics,(unassigned street 4),english/images/4.png,5
STREET_ENGLISH_05,STUDY_ENGLISH,5,Advanced Application,(unassigned street 5),english/images/5.png,2
STREET_ENGLISH_06,STUDY_ENGLISH,6,Discourse Markers (Result & Reason),(unassigned street 6),english/images/6.png,4
STREET_ENGLISH_07,STUDY_ENGLISH,7,Participle Definitions & Active Forms,(unassigned street 7),english/images/7.png,5
STREET_ENGLISH_08,STUDY_ENGLISH,8,Consequences & Past Forms,(unassigned street 8),english/images/8.png,5
STREET_ENGLISH_09,STUDY_ENGLISH,9,Passive & Mistakes,(unassigned street 9),english/images/9.png,2
STREET_ENGLISH_10,STUDY_ENGLISH,10,Nominalization & Definitions,(unassigned street 10),english/images/10.png,5
STREET_ENGLISH_11,STUDY_ENGLISH,11,Prefixes & Suffixes Definitions,(unassigned street 11),english/images/11.png,5
STREET_ENGLISH_12,STUDY_ENGLISH,12,"Negation, Mistakes, & Time",(unassigned street 12),english/images/12.png,5
STREET_ENGLISH_13,STUDY_ENGLISH,13,Suprasegmental Basics,(unassigned street 13),english/images/13.png,5
STREET_ENGLISH_14,STUDY_ENGLISH,14,Pitch and Notation,(unassigned street 14),english/images/14.png,2
STREET_ENGLISH_15,STUDY_ENGLISH,15,Rhythm and Flow,(unassigned street 15),english/images/15.png,4
STREET_ENGLISH_16,STUDY_ENGLISH,16,Connected Speech & Assimilation,(unassigned street 16),english/images/16.png,5
STREET_ENGLISH_17,STUDY_ENGLISH,17,Elision & Intrusion Rules,(unassigned street 17),english/images/17.png,2
STREET_ENGLISH_18,STUDY_ENGLISH,18,Syllabic Consonants,(unassigned street 18),english/images/18.png,3
STREET_GERMAN_01,STUDY_GERMAN,1,Re-tuned Mouth Moves,(unassigned street 1),german/images/1.png,5
STREET_GERMAN_02,STUDY_GERMAN,2,Deep German Sounds,(unassigned street 2),german/images/2.png,3
STREET_GERMAN_03,STUDY_GERMAN,3,Shifted Placements and Rounded Vowels,(unassigned street 3),german/images/3.png,5
STREET_GERMAN_04,STUDY_GERMAN,4,Drops and Fast Diphthongs,(unassigned street 4),german/images/4.png,4
STREET_GERMAN_05,STUDY_GERMAN,5,Compound Stress and Consonants,(unassigned street 5),german/images/5.png,5
STREET_GERMAN_06,STUDY_GERMAN,6,Vowel Length Rules,(unassigned street 6),german/images/6.png,2
STREET_GERMAN_07,STUDY_GERMAN,7,Consonant Limits and Vowel Reductions,(unassigned street 7),german/images/7.png,5
STREET_GERMAN_08,STUDY_GERMAN,8,The German R Variations,(unassigned street 8),german/images/8.png,3
STREET_PIANO_01,STUDY_PIANO,1,Keyboard Map and Reading System,(unassigned street 1),piano/images/1.png,5
STREET_PIANO_02,STUDY_PIANO,2,Note Values and Relaxed Hand,(unassigned street 2),piano/images/2.png,5
STREET_PIANO_03,STUDY_PIANO,3,Practice Structure and Scale Steps,(unassigned street 3),piano/images/3.png,5
STREET_PIANO_04,STUDY_PIANO,4,"Key Choice, Chords, and Pedal",(unassigned street 4),piano/images/4.png,3
STREET_PIANO_05,STUDY_PIANO,5,Chord Construction and Types,(unassigned street 5),piano/images/5.png,5
STREET_PIANO_06,STUDY_PIANO,6,Chord Positions and Harmony Basics,(unassigned street 6),piano/images/6.png,5
STREET_PIANO_07,STUDY_PIANO,7,Musical Structure,(unassigned street 7),piano/images/7.png,3
STREET_PIANO_08,STUDY_PIANO,8,Reading Spaces and Resolution,(unassigned street 8),piano/images/8.png,3
STREET_PIANO_09,STUDY_PIANO,9,Note Symbols and Counting,(unassigned street 9),piano/images/9.png,1
STREET_PIANO_10,STUDY_PIANO,10,Reading and Hand Posture,(unassigned street 10),piano/images/10.jpg,2
STREET_SCIENCE_01,STUDY_SCIENCE,1,What your sample says vs. what the world might say,(unassigned street 1),science/images/1.png,2
STREET_SCIENCE_02,STUDY_SCIENCE,2,The Comparative Method of Valuation,(unassigned street 2),science/images/2.png,4
STREET_SCIENCE_03,STUDY_SCIENCE,3,Conjoint Analysis Basics,(unassigned street 3),science/images/3.png,5
STREET_SCIENCE_04,STUDY_SCIENCE,4,Calculating Share and Demand,(unassigned street 4),science/images/4.png,3
STREET_SCIENCE_05,STUDY_SCIENCE,5,Research Bias,(unassigned street 5),science/images/5.png,4
STREET_SCIENCE_06,STUDY_SCIENCE,6,Science vs. Pseudoscience,(unassigned street 6),science/images/6.png,5
STREET_SCIENCE_07,STUDY_SCIENCE,7,"Paradigms, Crisis, and Shifts",(unassigned street 7),science/images/7.png,5
STREET_SCIENCE_08,STUDY_SCIENCE,8,The Hypothesis Courtroom,(unassigned street 8),science/images/8.png,2
STREET_SCIENCE_09,STUDY_SCIENCE,9,The Bayesian Courtroom,(unassigned street 9),science/images/9.png,5
STREET_SCIENCE_10,STUDY_SCIENCE,10,The Coin Flip Casino,(unassigned street 10),science/images/10.png,5
STREET_SCIENCE_11,STUDY_SCIENCE,11,The Structure Web,(unassigned street 11),science/images/11.png,4
STREET_SCIENCE_12,STUDY_SCIENCE,12,Foundations and Constant Comparison,(unassigned street 12),science/images/12.png,4
STREET_SCIENCE_13,STUDY_SCIENCE,13,The Evolution of Grounded Theory,(unassigned street 13),science/images/13.png,5
STREET_SCIENCE_14,STUDY_SCIENCE,14,Foundations of Reasoning,(unassigned street 14),science/images/14.png,4
STREET_SCIENCE_15,STUDY_SCIENCE,15,From Social Theory to Bosch UX Practice,(unassigned street 15),science/images/15.png,5
STREET_SCIENCE_16,STUDY_SCIENCE,16,From Raw Data to Theory,(unassigned street 16),science/images/16.png,3
STREET_SCIENCE_17,STUDY_SCIENCE,17,Participatory Action Research Mechanics,(unassigned street 17),science/images/17.png,3
STREET_SCIENCE_18,STUDY_SCIENCE,18,Definition and Characteristics,(unassigned street 18),science/images/18.png,4
STREET_SCIENCE_19,STUDY_SCIENCE,19,How and Why Questions,(unassigned street 19),science/images/19.png,4
STREET_SKILLS_01,STUDY_SKILLS,1,Core Speed Reading Principles,(unassigned street 1),skills/images/1.png,5
STREET_SKILLS_02,STUDY_SKILLS,2,Enhancing Brain Focus and Retention,(unassigned street 2),skills/images/2.png,2
STREET_SKILLS_03,STUDY_SKILLS,3,Vital Signs,(unassigned street 3),skills/images/3.jpg,2
STREET_SKILLS_04,STUDY_SKILLS,4,Rotina de Ativação Matinal,(unassigned street 4),skills/images/4.png,4
STREET_SKILLS_05,STUDY_SKILLS,5,Cognitive Shuffling Fundamentals,(unassigned street 5),skills/images/5.png,2
STREET_TAOISM_01,STUDY_TAOISM,1,Core Philosophy,(unassigned street 1),taoism/images/1.jpg,5
STREET_TAOISM_02,STUDY_TAOISM,2,Foundational Texts & Figures,(unassigned street 2),taoism/images/2.jpg,5
STREET_TAOISM_03,STUDY_TAOISM,3,Cosmology & The Body,(unassigned street 3),taoism/images/3.jpg,5
STREET_TAOISM_04,STUDY_TAOISM,4,Religious Development & Pantheon,(unassigned street 4),taoism/images/4.jpg,5
