id,study_id,image_rel_path,caption,sort_order
STIMG_0002,STUDY_DOGS,practice/images/dogs/backlog-0002.png,,2
STIMG_0003,STUDY_DOGS,practice/images/dogs/backlog-0003.png,,3
STIMG_0004,STUDY_DOGS,practice/images/dogs/backlog-0004.png,,4
STIMG_0006,STUDY_DOGS,practice/images/dogs/backlog-0006.png,,6
STIMG_0007,STUDY_DOGS,practice/images/dogs/backlog-0007.png,,7
STIMG_0008,STUDY_DOGS,practice/images/dogs/backlog-0008.png,,8
STIMG_0009,STUDY_DOGS,practice/images/dogs/backlog-0009.png,,9
STIMG_0010,STUDY_DOGS,practice/images/dogs/backlog-0010.png,,10
STIMG_0011,STUDY_DOGS,practice/images/dogs/backlog-0011.png,,11
STIMG_0013,STUDY_DOGS,practice/images/dogs/backlog-0013.png,,13
STIMG_0015,STUDY_DOGS,practice/images/dogs/backlog-0015.png,,15
STIMG_0016,STUDY_DOGS,practice/images/dogs/backlog-0016.png,,16
STIMG_0017,STUDY_DOGS,practice/images/dogs/backlog-0017.png,,17
