id,street_id,peg_code,beast_name,beast_source,sensory_channel,is_smashed,sort_order
BEAST_ENGLISH_01_A,STREET_ENGLISH_01,A,Arachne,,,0,1
BEAST_ENGLISH_01_B,STREET_ENGLISH_01,B,Bird of Paradise,,,0,2
BEAST_ENGLISH_01_C,STREET_ENGLISH_01,C,Cat,,,0,3
BEAST_ENGLISH_01_E,STREET_ENGLISH_01,E,Eagle,,,0,4
BEAST_ENGLISH_02_F,STREET_ENGLISH_02,F,Frog,,,0,1
BEAST_ENGLISH_02_G,STREET_ENGLISH_02,G,Goat,,,0,2
BEAST_ENGLISH_02_H,STREET_ENGLISH_02,H,Hydra,,,0,3
BEAST_ENGLISH_02_I,STREET_ENGLISH_02,I,Imp,,,0,4
BEAST_ENGLISH_02_J,STREET_ENGLISH_02,J,Jester,,,0,5
BEAST_ENGLISH_03_K,STREET_ENGLISH_03,K,Kitten,,,0,1
BEAST_ENGLISH_03_L,STREET_ENGLISH_03,L,Lion,,,0,2
BEAST_ENGLISH_04_M,STREET_ENGLISH_04,M,marmoset,,,0,1
BEAST_ENGLISH_04_N,STREET_ENGLISH_04,N,Neanderthal,,,0,2
BEAST_ENGLISH_04_O,STREET_ENGLISH_04,O,owl,,,0,3
BEAST_ENGLISH_04_P,STREET_ENGLISH_04,P,panther,,,0,4
BEAST_ENGLISH_04_Q,STREET_ENGLISH_04,Q,Quetzalcoatl,,,0,5
BEAST_ENGLISH_05_R,STREET_ENGLISH_05,R,rat,,,0,1
BEAST_ENGLISH_05_S,STREET_ENGLISH_05,S,skull,,,0,2
BEAST_ENGLISH_06_T,STREET_ENGLISH_06,T,toucan,,,0,1
BEAST_ENGLISH_06_U,STREET_ENGLISH_06,U,unicorn,,,0,2
BEAST_ENGLISH_06_V,STREET_ENGLISH_06,V,vulture,,,0,3
BEAST_ENGLISH_06_W,STREET_ENGLISH_06,W,wombat,,,0,4
BEAST_ENGLISH_07_X,STREET_ENGLISH_07,X,"Xena, warrior woman",,,0,1
BEAST_ENGLISH_07_Y,STREET_ENGLISH_07,Y,yak,,,0,2
BEAST_ENGLISH_07_Z,STREET_ENGLISH_07,Z,Zeus,,,0,3
BEAST_ENGLISH_07_AA,STREET_ENGLISH_07,Aa,aardvark,,,0,4
BEAST_ENGLISH_07_AB,STREET_ENGLISH_07,Ab,Abyssinian cat,,,0,5
BEAST_ENGLISH_08_AC,STREET_ENGLISH_08,Ac,acorn,,,0,1
BEAST_ENGLISH_08_AD,STREET_ENGLISH_08,Ad,adder,,,0,2
BEAST_ENGLISH_08_AE,STREET_ENGLISH_08,Ae,aerialist,,,0,3
BEAST_ENGLISH_08_AF,STREET_ENGLISH_08,Af,Afghan hound,,,0,4
BEAST_ENGLISH_08_AG,STREET_ENGLISH_08,Ag,Agaric fungi,,,0,5
BEAST_ENGLISH_09_AH,STREET_ENGLISH_09,Ah,Ah!—a sigh,,,0,1
BEAST_ENGLISH_09_AI,STREET_ENGLISH_09,Ai,Airedale terrier,,,0,2
BEAST_ENGLISH_10_AJ,STREET_ENGLISH_10,Aj,Ajax,,,0,1
BEAST_ENGLISH_10_AK,STREET_ENGLISH_10,Ak,Akita (dog breed),,,0,2
BEAST_ENGLISH_10_AL,STREET_ENGLISH_10,Al,alligator,,,0,3
BEAST_ENGLISH_10_AM,STREET_ENGLISH_10,Am,amulet,,,0,4
BEAST_ENGLISH_10_AN,STREET_ENGLISH_10,An,angel,,,0,5
BEAST_ENGLISH_11_AO,STREET_ENGLISH_11,Ao,aoudad,,,0,1
BEAST_ENGLISH_11_AP,STREET_ENGLISH_11,Ap,ape,,,0,2
BEAST_ENGLISH_11_AQ,STREET_ENGLISH_11,Aq,aquatic leech,,,0,3
