id,study_id,palace_number,title,character_name,image_rel_path,depth_slots_used,image_prompt
PALACE_ENGLISH_01,STUDY_ENGLISH,1,Cleft Sentences & It-Clefts,(unassigned street 1),english/images/1.png,4,
PALACE_ENGLISH_02,STUDY_ENGLISH,2,Wh-Clefts & Rules,(unassigned street 2),english/images/2.png,5,
PALACE_ENGLISH_03,STUDY_ENGLISH,3,Special Variations,(unassigned street 3),english/images/3.png,2,
PALACE_ENGLISH_04,STUDY_ENGLISH,4,Ellipsis & Substitution Basics,(unassigned street 4),english/images/4.png,5,
PALACE_ENGLISH_05,STUDY_ENGLISH,5,Advanced Application,(unassigned street 5),english/images/5.png,2,
PALACE_ENGLISH_06,STUDY_ENGLISH,6,Discourse Markers (Result & Reason),(unassigned street 6),english/images/6.png,4,
PALACE_ENGLISH_07,STUDY_ENGLISH,7,Participle Definitions & Active Forms,(unassigned street 7),english/images/7.png,5,
PALACE_ENGLISH_08,STUDY_ENGLISH,8,Consequences & Past Forms,(unassigned street 8),english/images/8.png,5,
PALACE_ENGLISH_09,STUDY_ENGLISH,9,Passive & Mistakes,(unassigned street 9),english/images/9.png,2,
PALACE_ENGLISH_10,STUDY_ENGLISH,10,Nominalization & Definitions,(unassigned street 10),english/images/10.png,5,
PALACE_ENGLISH_11,STUDY_ENGLISH,11,Prefixes & Suffixes Definitions,(unassigned street 11),english/images/11.png,5,
PALACE_ENGLISH_12,STUDY_ENGLISH,12,"Negation, Mistakes, & Time",(unassigned street 12),english/images/12.png,5,
PALACE_ENGLISH_13,STUDY_ENGLISH,13,Suprasegmental Basics,(unassigned street 13),english/images/13.png,5,
PALACE_ENGLISH_14,STUDY_ENGLISH,14,Pitch and Notation,(unassigned street 14),english/images/14.png,2,
PALACE_ENGLISH_15,STUDY_ENGLISH,15,Rhythm and Flow,(unassigned street 15),english/images/15.png,4,
PALACE_ENGLISH_16,STUDY_ENGLISH,16,Connected Speech & Assimilation,(unassigned street 16),english/images/16.png,5,
PALACE_ENGLISH_17,STUDY_ENGLISH,17,Elision & Intrusion Rules,(unassigned street 17),english/images/17.png,2,
PALACE_ENGLISH_18,STUDY_ENGLISH,18,Syllabic Consonants,(unassigned street 18),english/images/18.png,3,
