2026-05-12 11:30:21 | ShortcutPress | L | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome, uia_name=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:21 | GetOutlookSection | active_window | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:21 | GetOutlookSection | not_outlook | chrome.exe
2026-05-12 11:30:21 | ShortcutPress | L | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome, uia_name=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:21 | GetOutlookSection | active_window | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:21 | GetOutlookSection | not_outlook | chrome.exe
2026-05-12 11:30:24 | ShortcutPress | L | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome, uia_name=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:24 | GetOutlookSection | active_window | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:24 | GetOutlookSection | not_outlook | chrome.exe
2026-05-12 11:30:24 | ShortcutPress | L | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome, uia_name=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:24 | GetOutlookSection | active_window | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:24 | GetOutlookSection | not_outlook | chrome.exe
2026-05-12 11:30:25 | ShortcutPress | L | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome, uia_name=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:25 | GetOutlookSection | active_window | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:25 | GetOutlookSection | not_outlook | chrome.exe
2026-05-12 11:30:25 | ShortcutPress | L | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome, uia_name=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:25 | GetOutlookSection | active_window | hwnd=789822, exe=chrome.exe, title=PPUMA - Power Apps - Google Chrome
2026-05-12 11:30:25 | GetOutlookSection | not_outlook | chrome.exe
