id,project_id,title,sort_order
SEC_0002,PROJ_0002,General,0
SEC_0003,PROJ_0003,General,0
SEC_0004,PROJ_0004,General,0
SEC_0005,PROJ_0005,General,0
SEC_0006,PROJ_0006,General,0
SEC_0011,PROJ_0011,General,0
SEC_0012,PROJ_0012,General,0
SEC_0013,PROJ_0013,General,0
SEC_0014,PROJ_0014,General,0
SEC_0015,PROJ_0015,General,0
SEC_0016,PROJ_0016,General,0
SEC_0019,PROJ_0019,General,0
SEC_0021,PROJ_0021,General,0
SEC_0022,PROJ_0022,General,0
SEC_0023,PROJ_0023,General,0
SEC_0063,PROJ_0005,"Tasks/Checar esta meta, se precisamos revisar",20
SEC_0067,PROJ_0012,Projects/Inputs coming from Nadia.,20
SEC_0068,PROJ_0012,Projects/Business Model,30
SEC_0070,PROJ_0013,Projects/Governance,20
SEC_0073,PROJ_0013,Projects/Communication Plan/TEAMS group,50
SEC_0074,PROJ_0013,Projects/Parte 1 - Gemini Enterprise/key users section,60
SEC_0075,PROJ_0013,Projects/Parte 2 – N8N,70
SEC_0076,PROJ_0013,Projects/N8N,80
SEC_0081,PROJ_0019,Daily,10
SEC_0082,PROJ_0019,Weekly,20
SEC_0083,PROJ_0019,Monthly,30
SEC_0084,PROJ_0019,Quarterly,40
SEC_0085,PROJ_0019,Bi-yearly (Every 6 months),50
SEC_0086,PROJ_0019,Yearly,60
SEC_0087,PROJ_0019,Every 10 Years (Documents),70
SEC_0088,PROJ_0019,Every 2 Years,80
SEC_0089,PROJ_0019,Every 3 Years,90
SEC_0090,PROJ_0019,Every 5 Years,100
SEC_0091,PROJ_0021,Medication Monitoring (Fluvoxamina),10
SEC_0092,PROJ_0022,"Vaccination Plan (Follow-up, from 2025 onward)",10
SEC_0093,PROJ_0023,Notes from Your Records (Prior Vaccines),10
SEC_0126,PROJ_0059,General,0
SEC_0127,PROJ_0024,General,0
SEC_0128,PROJ_0025,General,0
SEC_0129,PROJ_0026,General,0
SEC_0130,PROJ_0013,Training,90
