id,project_id,section_id,title,emoji,kind,recurrence,due_date,next_due,section_path,filter,sort_order,completed_at,created_at,active
TASK_0001,PROJ_0002,SEC_0002,Falar com ele,⚡,punctual,,,,,work,50,,2026-08-29 15:48:39,1
TASK_0002,PROJ_0002,SEC_0002,Entrar em contato com universidades alemãs para mapear oportunidades de doutorado profissional em parceria com a Bosch,🔲,punctual,,,,,work,90,,2026-08-29 15:48:39,1
TASK_0003,PROJ_0002,SEC_0002,Entrar em contato com donos de vagas na Bosch para mapear oportunidades de doutorado profissional em parceria.,🔲,punctual,,,,,work,100,,2026-08-29 15:48:39,1
TASK_0006,PROJ_0003,SEC_0003,Check the opportunities files,⏳,punctual,,,,,work,150,,2026-08-29 15:48:39,1
TASK_0007,PROJ_0004,SEC_0004,What are we gonna do because this meeting will be during your vacation,⏳,punctual,,,,,work,220,,2026-08-29 15:48:39,1
TASK_0008,PROJ_0005,SEC_0005,Decide between Cursor and other approaches,⏳,punctual,,,,,work,350,,2026-08-29 15:48:39,1
TASK_0009,PROJ_0005,SEC_0005,Check you can have the Gemini extension and CLI on VS Code,⏳,punctual,,,,,work,370,,2026-08-29 15:48:39,1
TASK_0010,PROJ_0005,SEC_0005,Check if you would like access to Gemini Agents,⏳,punctual,,,,,work,400,,2026-08-29 15:48:39,1
TASK_0011,PROJ_0005,SEC_0063,Separar a reunião de segunda que vem para analisarmos se essa pessoa técnica,⏳,punctual,,,,"Tasks/Checar esta meta, se precisamos revisar",work,410,,2026-08-29 15:48:39,1
TASK_0012,PROJ_0006,SEC_0006,"[Ca-IE-SSM-SEGMAADM-WBT] Health, Safety at Work and Environment-B (due to 29/Jul/2027)",⏳,punctual,,,,,work,440,,2026-08-29 15:48:39,1
TASK_0013,PROJ_0011,SEC_0011,A Letícia gostaria de incluir a Fran para trazer as expectativas. Ela cuida de CX (customer experience - call center).,⏳,punctual,,,,,work,560,,2026-08-29 15:48:39,1
TASK_0014,PROJ_0012,SEC_0012,KPIs,⏳,punctual,,,,,work,640,,2026-08-29 15:48:39,1
TASK_0015,PROJ_0012,SEC_0067,Checar essa funcionalidade de interação com o chat? O Flarian usaria?,⏳,punctual,,,,Projects/Inputs coming from Nadia.,work,670,,2026-08-29 15:48:39,1
TASK_0016,PROJ_0012,SEC_0067,A PT está usando o NextAPP. Eles tão usando isso? Eles querem conectar com a nossa base? Apenas somente venda.,⏳,punctual,,,,Projects/Inputs coming from Nadia.,work,680,,2026-08-29 15:48:39,1
TASK_0017,PROJ_0012,SEC_0068,Contact Larissa for assistance with Power BI and API construction. Check if there is any left value that you couldn't fulfill inside the business model that she could help,⏳,punctual,,,,Projects/Business Model,work,690,,2026-08-29 15:48:39,1
TASK_0019,PROJ_0013,SEC_0070,Como estão monitorando os KPIs para reporte?,⏳,punctual,,,,Projects/Governance,work,740,,2026-08-29 15:48:39,1
TASK_0020,PROJ_0013,SEC_0070,Como priorizam as automações e digitalizações dentro das áreas?,⏳,punctual,,,,Projects/Governance,work,750,,2026-08-29 15:48:39,1
TASK_0021,PROJ_0013,SEC_0013,Communication 1,⏳,punctual,,,,,work,790,,2026-08-29 15:48:39,1
TASK_0022,PROJ_0013,SEC_0013,Communication 2,⏳,punctual,,,,,work,800,,2026-08-29 15:48:39,1
TASK_0023,PROJ_0013,SEC_0013,Communication 1,⏳,punctual,,,,,work,810,,2026-08-29 15:48:39,1
TASK_0024,PROJ_0013,SEC_0013,Communication 2,⏳,punctual,,,,,work,820,,2026-08-29 15:48:39,1
TASK_0025,PROJ_0013,SEC_0073,Make more communications,⚡,punctual,,,,Projects/Communication Plan/TEAMS group,work,830,,2026-08-29 15:48:39,1
TASK_0026,PROJ_0013,SEC_0074,Maybe we should have two sessions the first with 20 people and the second one we wait to reach out to 15 people too go,⏳,punctual,,,,Projects/Parte 1 - Gemini Enterprise/key users section,work,920,,2026-08-29 15:48:39,1
TASK_0027,PROJ_0013,SEC_0075,"If the next batch of sections for N8N is approved by the DT lead, we need to check who's going to support Felipe in the moderation",⏳,punctual,,,,Projects/Parte 2 – N8N,work,930,,2026-08-29 15:48:39,1
TASK_0028,PROJ_0013,SEC_0075,Update the schedule,⏳,punctual,,,,Projects/Parte 2 – N8N,work,950,,2026-08-29 15:48:39,1
TASK_0029,PROJ_0013,SEC_0075,Maybe we need to send a news to the key users for them to prepare a license for the Gemini Enterprise Plus,✅,punctual,,,,Projects/Parte 2 – N8N,work,980,2026-08-29 15:48:39,2026-08-29 15:48:39,1
TASK_0030,PROJ_0013,SEC_0075,Send the invitation for the N8N training for managers.,🔲,punctual,,,,Projects/Parte 2 – N8N,work,1000,,2026-08-29 15:48:39,1
TASK_0031,PROJ_0013,SEC_0075,Send the invitation for the N8N training for colleagues.,🔲,punctual,,,,Projects/Parte 2 – N8N,work,1010,,2026-08-29 15:48:39,1
TASK_0032,PROJ_0013,SEC_0075,Send the invitation for the N8N training for key-users. We need to ask the key-users to install N8N too.,🔲,punctual,,,,Projects/Parte 2 – N8N,work,1020,,2026-08-29 15:48:39,1
TASK_0033,PROJ_0013,SEC_0075,to understand where this key user this list of key users is on the network and if necessary place to our folder,⏳,punctual,,,,Projects/Parte 2 – N8N,work,1100,,2026-08-29 15:48:39,1
TASK_0034,PROJ_0013,SEC_0076,Enviar o convite para os key-users depois do dia 3 de set para não se confundirem,🔲,punctual,,,,Projects/N8N,work,1220,,2026-08-29 15:48:39,1
TASK_0035,PROJ_0015,SEC_0015,You should also check with your mother-in-law if she get in got in touch with the Attorny,⚡,punctual,,,,,personal,1360,,2026-08-29 15:48:39,1
TASK_0036,PROJ_0015,SEC_0015,Start look at investing in other countries instead of only brazil,⚡,punctual,,,,,personal,1370,,2026-08-29 15:48:39,1
TASK_0037,PROJ_0015,SEC_0015,Procurar um emprego,⚡,punctual,,,,,personal,1380,,2026-08-29 15:48:39,1
TASK_0039,PROJ_0015,SEC_0015,Follow your process with CPFL,🔲,punctual,,,,,personal,1480,,2026-08-29 15:48:39,1
TASK_0040,PROJ_0015,SEC_0015,Update your CV when you finish your master's degree at any new article if you have published,⏳,punctual,,,,,personal,1510,,2026-08-29 15:48:39,1
TASK_0041,PROJ_0015,SEC_0015,Buy the memory craft,⏳,punctual,,,,,personal,1520,,2026-08-29 15:48:39,1
TASK_0042,PROJ_0015,SEC_0015,"Close anything that might generate costs on your Azure, the tools used for your dissertation",⏳,punctual,,,,,personal,1540,,2026-08-29 15:48:39,1
TASK_0043,PROJ_0015,SEC_0015,Check if other companies can offer it for a better price for your bruxismo  guard,⏳,punctual,,,,,personal,1580,,2026-08-29 15:48:39,1
TASK_0044,PROJ_0015,SEC_0015,Limpar o túmulo da mãe,🔲,punctual,,,,,personal,1590,,2026-08-29 15:48:39,1
TASK_0045,PROJ_0026,SEC_0129,Why don't you print your theses and also the articles that you published? Would be really cool to have that in your office. Print your articles too,⏳,punctual,,,,,personal,1600,,2026-08-29 15:48:39,1
TASK_0046,PROJ_0015,SEC_0015,Read your dissertation,✅,punctual,,,,,personal,1630,2026-08-29 19:40:11,2026-08-29 15:48:39,1
TASK_0047,PROJ_0015,SEC_0015,Rehearsal your presentation,✅,punctual,,,,,personal,1640,2026-08-29 19:40:13,2026-08-29 15:48:39,1
